time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9166064523e+00 4.9957931140e-02
1.2271846300e-02 9.9148429350e+00 4.9953492438e-02
2.4543692600e-02 9.9093384397e+00 4.9939638395e-02
3.6815538900e-02 9.9001003994e+00 4.9916372694e-02
4.9087385200e-02 9.8871376931e+00 4.9883701511e-02
6.1359231500e-02 9.8704587215e+00 4.9841633505e-02
7.3631077800e-02 9.8500766043e+00 4.9790179810e-02
8.5902924100e-02 9.8260086068e+00 4.9729354038e-02
9.8174770400e-02 9.7982740379e+00 4.9659172282e-02
1.1044661670e-01 9.7668995498e+00 4.9579653099e-02
1.2271846300e-01 9.7319098031e+00 4.9490817513e-02
1.3499030930e-01 9.6933314374e+00 4.9392689003e-02
1.4726215560e-01 9.6511970899e+00 4.9285293494e-02
1.5953400190e-01 9.6055430342e+00 4.9168659359e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9133037433e+00 4.9956050270e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9133037433e+00 4.9956050270e-02
1.2271846300e-02 9.9115396285e+00 4.9951611949e-02
2.4543692600e-02 9.9060364552e+00 4.9937759071e-02
3.6815538900e-02 9.8967995698e+00 4.9914495325e-02
4.9087385200e-02 9.8838374685e+00 4.9881826885e-02
6.1359231500e-02 9.8671599143e+00 4.9839762406e-02
7.3631077800e-02 9.8467803006e+00 4.9788313025e-02
8.5902924100e-02 9.8227151999e+00 4.9727492358e-02
9.8174770400e-02 9.7949850833e+00 4.9657316491e-02
1.1044661670e-01 9.7636141624e+00 4.9577803979e-02
1.2271846300e-01 9.7286281979e+00 4.9488975842e-02
1.3499030930e-01 9.6900549961e+00 4.9390855555e-02
1.4726215560e-01 9.6479267004e+00 4.9283469041e-02
1.5953400190e-01 9.6022792474e+00 4.9166844669e-02
