time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.48873141908244957e+01 2.97660618806701177e+03 2.99149350225783610e+03 5.51469592274329359e-02
1.22718463000000000e-02 1.48845277079034748e+01 2.97660897391143408e+03 2.99149350161933762e+03 5.58804041382363614e-02
2.45436926000000000e-02 1.48761282949589440e+01 2.97661737269954892e+03 2.99149350099450794e+03 5.66775075656202054e-02
3.68155389000000000e-02 1.48621224104571219e+01 2.97663137754092486e+03 2.99149349995138209e+03 5.75355594865596676e-02
4.90873851999999999e-02 1.48425221068361850e+01 2.97665097676221694e+03 2.99149349886905293e+03 5.84518775256064396e-02
6.13592314999999999e-02 1.48173433592868911e+01 2.97667615357123123e+03 2.99149349693051818e+03 5.94235888956920894e-02
7.36310777999999999e-02 1.47866080043737487e+01 2.97670688700245364e+03 2.99149349500682729e+03 6.04477868022998618e-02
8.59029240999999999e-02 1.47503413038780238e+01 2.97674315185763999e+03 2.99149349316151802e+03 6.15220014224043335e-02
9.81747703999999999e-02 1.47085724304587178e+01 2.97678491824734510e+03 2.99149349067780395e+03 6.26435123027853230e-02
1.10446616700000000e-01 1.46613369768276929e+01 2.97683215116170641e+03 2.99149348813853430e+03 6.38094443760283681e-02
