method,value_type,kernel_width,rho,best_tile_x,best_tile_y,best_tile_z,best_team_size,best_oversubscription_factor,best_z_batches,throughput_Mpts_s,time_ms,kernel_evaluations,preflight_rejections
Atomic,real,1,0.0,1,1,1,1,1,1,0.00,0.0000,0,0
Atomic,complex,1,0.0,1,1,1,1,1,1,0.00,0.0000,0,0
Atomic,real,2,0.0,1,1,1,1,1,1,0.00,0.0000,0,0
Atomic,complex,2,0.0,1,1,1,1,1,1,0.00,0.0000,0,0
