time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9206664685e+00 4.9968135281e-02
1.2271846300e-02 9.9187062422e+00 4.9963206137e-02
2.4543692600e-02 9.9130074034e+00 4.9948864789e-02
3.6815538900e-02 9.9035750671e+00 4.9925116430e-02
4.9087385200e-02 9.8904178434e+00 4.9891971452e-02
6.1359231500e-02 9.8735446382e+00 4.9849429763e-02
7.3631077800e-02 9.8529692784e+00 4.9797502791e-02
8.5902924100e-02 9.8287131516e+00 4.9736214877e-02
9.8174770400e-02 9.8007966935e+00 4.9665580406e-02
1.1044661670e-01 9.7692366986e+00 4.9585601927e-02
1.2271846300e-01 9.7340633327e+00 4.9496314600e-02
1.3499030930e-01 9.6953085902e+00 4.9397748011e-02
1.4726215560e-01 9.6529986776e+00 4.9289910085e-02
1.5953400190e-01 9.6071751508e+00 4.9172843617e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9173622979e+00 4.9966254027e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9173622979e+00 4.9966254027e-02
1.2271846300e-02 9.9154019055e+00 4.9961325281e-02
2.4543692600e-02 9.9097040445e+00 4.9946985113e-02
3.6815538900e-02 9.9002729628e+00 4.9923238719e-02
4.9087385200e-02 9.8871183998e+00 4.9890096489e-02
6.1359231500e-02 9.8702474499e+00 4.9847558340e-02
7.3631077800e-02 9.8496749669e+00 4.9795635692e-02
8.5902924100e-02 9.8254220751e+00 4.9734352879e-02
9.8174770400e-02 9.7975092285e+00 4.9663724296e-02
1.1044661670e-01 9.7659529625e+00 4.9583752485e-02
1.2271846300e-01 9.7307839781e+00 4.9494472606e-02
1.3499030930e-01 9.6920342438e+00 4.9395914234e-02
1.4726215560e-01 9.6497294589e+00 4.9288085298e-02
1.5953400190e-01 9.6039105729e+00 4.9171028553e-02
