num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
128,1024,8589934592,type1,0,1540.984891
128,1024,8589934592,type1,1,1541.555537
128,1024,8589934592,type1,2,1541.902800
128,1024,8589934592,type1,3,1539.075986
128,1024,8589934592,type1,4,1543.706932
128,1024,8589934592,type1,5,1541.588361
128,1024,8589934592,type1,6,1543.390429
128,1024,8589934592,type1,7,1537.960322
128,1024,8589934592,type1,8,1539.848076
128,1024,8589934592,type1,9,1539.079789
128,1024,8589934592,type2,0,1019.960336
128,1024,8589934592,type2,1,1022.715941
128,1024,8589934592,type2,2,1020.484068
128,1024,8589934592,type2,3,1019.843756
128,1024,8589934592,type2,4,1019.389842
128,1024,8589934592,type2,5,1020.126617
128,1024,8589934592,type2,6,1020.515093
128,1024,8589934592,type2,7,1021.246553
128,1024,8589934592,type2,8,1020.584564
128,1024,8589934592,type2,9,1020.879110
