                      ranks  Wall tot
=====================================
mainTimer...........   1024     70.23

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........   1024     70.23     70.23     70.23
particlesCreation...   1024         0         0         0
dumpData............   1024    0.3667    0.1597    0.2505
kick................   1024   0.04032   0.03062   0.03525
drift...............   1024   0.01997   0.01518   0.01747
initializeShapeFunc.   1024         0         0         0
findInternal........   1024         0         0         0
findPeriodic........   1024         0         0         0
NativeNUFFT::init...   1024         0         0         0
particleBC..........   1024   0.04107   0.03119   0.03592
updateParticle......   1024    0.2831    0.2488     0.268
locateParticles.....   1024   0.03733   0.02615   0.02996
sendPreprocess......   1024    0.0419   0.01128    0.0288
particleSend........   1024     0.056   0.02503   0.03521
particleRecv........   1024   0.01113  0.002143   0.00606
particleDestroy.....   1024    0.1175   0.08431   0.09554
ScatterPIFNUFFT.....   1024     17.39     17.06     17.22
NativeNUFFT1........   1024     17.36     17.03     17.19
scatterTimerNUFFT1..   1024    0.5192    0.4289    0.4742
binSort.............   1024     0.424    0.3239     0.371
binComputeKeys......   1024   0.04471   0.03408   0.03915
binSortByKey........   1024    0.3656    0.2789    0.3196
binComputeOffsets...   1024   0.01328   0.01044    0.0118
FFTNUFFT1...........   1024      16.9     16.55     16.71
TwiddleAdd..........   1024   0.01396   0.01357   0.01374
subFFTs.............   1024     16.89     16.54      16.7
deconvolutionNUFFT1.   1024  0.001528  0.001355  0.001394
GatherPIFNUFFT......   1024     52.54     52.17     52.38
NativeNUFFT2........   1024     52.43     52.05     52.26
PrecorrectionNUFFT2.   1024  0.008445  0.004205  0.004272
FFTNUFFT2...........   1024     50.87     50.16      50.5
subIFFTs............   1024     50.79     50.09     50.43
StridedWrite........   1024   0.06579    0.0612   0.06144
GatherNUFFT2........   1024     2.214     1.425     1.756
