num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
1024,512,1073741824,type1,0,51.133357
1024,512,1073741824,type1,1,58.831508
1024,512,1073741824,type1,2,41.880918
1024,512,1073741824,type1,3,43.473465
1024,512,1073741824,type1,4,47.486562
1024,512,1073741824,type1,5,49.140465
1024,512,1073741824,type1,6,37.903628
1024,512,1073741824,type1,7,55.859934
1024,512,1073741824,type1,8,33.723737
1024,512,1073741824,type1,9,48.208714
1024,512,1073741824,type2,0,38.156640
1024,512,1073741824,type2,1,38.429659
1024,512,1073741824,type2,2,45.395247
1024,512,1073741824,type2,3,42.860347
1024,512,1073741824,type2,4,47.361573
1024,512,1073741824,type2,5,38.821601
1024,512,1073741824,type2,6,31.894779
1024,512,1073741824,type2,7,33.803661
1024,512,1073741824,type2,8,38.239899
1024,512,1073741824,type2,9,32.094620
