num_gpus,num_concurrent,direction,method,run_index,time_ms
64,1,forward,full,0,91.751729
64,1,forward,full,1,91.380942
64,1,forward,full,2,90.926204
64,1,forward,full,3,90.693329
64,1,forward,full,4,90.145762
64,1,forward,full,5,90.748993
64,1,forward,full,6,91.557836
64,1,forward,full,7,90.720226
64,1,forward,full,8,91.276008
64,1,forward,full,9,91.886462
64,1,forward,full,10,92.309681
64,1,forward,full,11,92.045193
64,1,forward,full,12,91.607868
64,1,forward,full,13,91.848416
64,1,forward,full,14,91.437410
64,1,forward,full,15,91.793942
64,1,forward,full,16,91.486219
64,1,forward,full,17,90.752248
64,1,forward,full,18,90.634076
64,1,forward,full,19,92.031995
64,1,forward,pruned,0,125.731110
64,1,forward,pruned,1,121.061459
64,1,forward,pruned,2,117.534904
64,1,forward,pruned,3,121.422920
64,1,forward,pruned,4,120.918033
64,1,forward,pruned,5,118.524317
64,1,forward,pruned,6,117.974154
64,1,forward,pruned,7,118.945210
64,1,forward,pruned,8,120.069265
64,1,forward,pruned,9,122.460937
64,1,forward,pruned,10,118.396388
64,1,forward,pruned,11,119.701619
64,1,forward,pruned,12,119.633780
64,1,forward,pruned,13,122.506758
64,1,forward,pruned,14,123.687107
64,1,forward,pruned,15,118.433091
64,1,forward,pruned,16,120.619873
64,1,forward,pruned,17,120.571747
64,1,forward,pruned,18,120.692806
64,1,forward,pruned,19,118.287011
64,1,backward,full,0,91.751729
64,1,backward,full,1,91.380942
64,1,backward,full,2,90.926204
64,1,backward,full,3,90.693329
64,1,backward,full,4,90.145762
64,1,backward,full,5,90.748993
64,1,backward,full,6,91.557836
64,1,backward,full,7,90.720226
64,1,backward,full,8,91.276008
64,1,backward,full,9,91.886462
64,1,backward,full,10,92.309681
64,1,backward,full,11,92.045193
64,1,backward,full,12,91.607868
64,1,backward,full,13,91.848416
64,1,backward,full,14,91.437410
64,1,backward,full,15,91.793942
64,1,backward,full,16,91.486219
64,1,backward,full,17,90.752248
64,1,backward,full,18,90.634076
64,1,backward,full,19,92.031995
64,1,backward,pruned,0,125.731110
64,1,backward,pruned,1,121.061459
64,1,backward,pruned,2,117.534904
64,1,backward,pruned,3,121.422920
64,1,backward,pruned,4,120.918033
64,1,backward,pruned,5,118.524317
64,1,backward,pruned,6,117.974154
64,1,backward,pruned,7,118.945210
64,1,backward,pruned,8,120.069265
64,1,backward,pruned,9,122.460937
64,1,backward,pruned,10,118.396388
64,1,backward,pruned,11,119.701619
64,1,backward,pruned,12,119.633780
64,1,backward,pruned,13,122.506758
64,1,backward,pruned,14,123.687107
64,1,backward,pruned,15,118.433091
64,1,backward,pruned,16,120.619873
64,1,backward,pruned,17,120.571747
64,1,backward,pruned,18,120.692806
64,1,backward,pruned,19,118.287011
