time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49216560711368125e+01 2.97666875562341738e+03 2.99159041169455440e+03 2.16842556661518172e-02
1.22718463000000000e-02 1.49189034674828758e+01 2.97667150779840131e+03 2.99159041126588409e+03 1.84152650792198391e-02
2.45436926000000000e-02 1.49105270648179893e+01 2.97667988415560740e+03 2.99159041122042527e+03 1.55311366537578318e-02
3.68155389000000000e-02 1.48965325328553302e+01 2.97669387726869354e+03 2.99159040980154896e+03 1.32857620494683231e-02
4.90873851999999999e-02 1.48769354521322814e+01 2.97671347373377694e+03 2.99159040918590927e+03 1.20428842214168556e-02
6.13592314999999999e-02 1.48517494623664454e+01 2.97673865694537335e+03 2.99159040640773992e+03 1.21137716326030643e-02
7.36310777999999999e-02 1.48209955779372873e+01 2.97676940899905276e+03 2.99159040457698984e+03 1.34749899926400844e-02
8.59029240999999999e-02 1.47846984394567809e+01 2.97680570533103082e+03 2.99159040377048768e+03 1.57956850358990618e-02
9.81747703999999999e-02 1.47428884205553477e+01 2.97684751486417372e+03 2.99159040328472929e+03 1.87220579080016949e-02
1.10446616700000000e-01 1.46956012733723576e+01 2.97689480151319958e+03 2.99159040278657176e+03 2.20130889422547327e-02
1.22718463000000000e-01 1.46428729680479339e+01 2.97694752647648238e+03 2.99159039944453025e+03 2.55260710338697829e-02
1.34990309300000000e-01 1.45847498536461266e+01 2.97700564818626844e+03 2.99159039803991436e+03 2.91793512173513583e-02
1.47262155600000000e-01 1.45212787295609473e+01 2.97706911745835532e+03 2.99159039618791621e+03 3.29252951976989131e-02
1.59534001900000000e-01 1.44525134255339349e+01 2.97713787981410860e+03 2.99159039323964271e+03 3.67339900387383470e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 0.00000000000000000e+00 2.97666875562341738e+03 2.97666875562341738e+03 2.16842556661518554e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49166961802746840e+01 2.97666875562341738e+03 2.99158545180369219e+03 2.16842556661518554e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49166961802746840e+01 2.97666875562341738e+03 2.99158545180369219e+03 2.16842556661518554e-02
