time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49119279545048951e+01 2.97662352292374271e+03 2.99153545087824750e+03 8.97831553093499518e-02
1.22718463000000000e-02 1.49092756502911570e+01 2.97662617493518064e+03 2.99153545058547161e+03 9.31916672796910817e-02
2.45436926000000000e-02 1.49010008685709536e+01 2.97663444871478214e+03 2.99153544958335306e+03 9.66511803784711049e-02
3.68155389000000000e-02 1.48871142716591631e+01 2.97664833485879899e+03 2.99153544913045835e+03 1.00155481279739014e-01
4.90873851999999999e-02 1.48676293523274303e+01 2.97666782075429319e+03 2.99153545010662083e+03 1.03700530095277993e-01
6.13592314999999999e-02 1.48425574317685083e+01 2.97669289233244263e+03 2.99153544976421108e+03 1.07282650794773574e-01
7.36310777999999999e-02 1.48119190333879160e+01 2.97672353101799126e+03 2.99153545005137903e+03 1.10897750799770878e-01
8.59029240999999999e-02 1.47757387319522149e+01 2.97675971168961541e+03 2.99153545042156748e+03 1.14542534400975698e-01
9.81747703999999999e-02 1.47340482025124082e+01 2.97680140105785131e+03 2.99153544926036375e+03 1.18213636010904788e-01
1.10446616700000000e-01 1.46868850800189534e+01 2.97684856277569270e+03 2.99153544785571148e+03 1.21907985360044824e-01
1.22718463000000000e-01 1.46342860292873773e+01 2.97690115970881925e+03 2.99153544573810677e+03 1.25623125595555857e-01
1.34990309300000000e-01 1.45762930628350453e+01 2.97695915035602411e+03 2.99153544341885936e+03 1.29356982212124522e-01
1.47262155600000000e-01 1.45129533505901769e+01 2.97702248661916155e+03 2.99153543996975168e+03 1.33107537117041180e-01
1.59534001900000000e-01 1.44443217508161030e+01 2.97709111427792550e+03 2.99153543602874151e+03 1.36872733509081385e-01
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 0.00000000000000000e+00 2.97662352292374271e+03 2.97662352292374271e+03 8.97831553093499518e-02
