time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9113255888e+00 4.9944479931e-02
1.2271846300e-02 9.9095626459e+00 4.9940041858e-02
2.4543692600e-02 9.9040604318e+00 4.9926191280e-02
3.6815538900e-02 9.8948267468e+00 4.9902931882e-02
4.9087385200e-02 9.8818710179e+00 4.9870269834e-02
6.1359231500e-02 9.8652013474e+00 4.9828213791e-02
7.3631077800e-02 9.8448305569e+00 4.9776774882e-02
8.5902924100e-02 9.8207754845e+00 4.9715966714e-02
9.8174770400e-02 9.7930559977e+00 4.9645805374e-02
1.1044661670e-01 9.7616991536e+00 4.9566309411e-02
1.2271846300e-01 9.7267292553e+00 4.9477499839e-02
1.3499030930e-01 9.6881723077e+00 4.9379400129e-02
1.4726215560e-01 9.6460608724e+00 4.9272036197e-02
1.5953400190e-01 9.6004322658e+00 4.9155436403e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9080233153e+00 4.9942599568e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9080233153e+00 4.9942599568e-02
