time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9303841798e+00 5.0002162551e-02
1.2271846300e-02 9.9284794910e+00 4.9997372348e-02
2.4543692600e-02 9.9228296489e+00 4.9983159856e-02
3.6815538900e-02 9.9134421332e+00 4.9959534756e-02
4.9087385200e-02 9.9003218966e+00 4.9926497387e-02
6.1359231500e-02 9.8834801024e+00 4.9884057126e-02
7.3631077800e-02 9.8629322832e+00 4.9832227883e-02
8.5902924100e-02 9.8386949062e+00 4.9771021289e-02
9.8174770400e-02 9.8107881807e+00 4.9700454225e-02
1.1044661670e-01 9.7792344251e+00 4.9620545001e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9295578341e+00 5.0001691912e-02
time, Ez_field_energy, Ez_max_norm
0.0000000000e+00 9.9295578341e+00 5.0001691912e-02
