num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
64,1024,8589934592,type1,0,5192.237007
64,1024,8589934592,type1,1,5223.055842
64,1024,8589934592,type1,2,5224.276327
64,1024,8589934592,type1,3,5223.618226
64,1024,8589934592,type1,4,5210.270393
64,1024,8589934592,type1,5,5217.819268
64,1024,8589934592,type1,6,5223.350428
64,1024,8589934592,type1,7,5216.990217
64,1024,8589934592,type1,8,5234.639425
64,1024,8589934592,type1,9,5229.623424
64,1024,8589934592,type2,0,1593.226546
64,1024,8589934592,type2,1,1606.189375
64,1024,8589934592,type2,2,1611.768555
64,1024,8589934592,type2,3,1603.812723
64,1024,8589934592,type2,4,1600.346032
64,1024,8589934592,type2,5,1652.614917
64,1024,8589934592,type2,6,1619.377746
64,1024,8589934592,type2,7,1624.866070
64,1024,8589934592,type2,8,1598.345248
64,1024,8589934592,type2,9,1617.856689
