num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
256,512,1073741824,type1,0,117.661055
256,512,1073741824,type1,1,110.312551
256,512,1073741824,type1,2,110.802392
256,512,1073741824,type1,3,110.773761
256,512,1073741824,type1,4,110.089113
256,512,1073741824,type1,5,112.639938
256,512,1073741824,type1,6,113.232401
256,512,1073741824,type1,7,120.177447
256,512,1073741824,type1,8,118.177890
256,512,1073741824,type1,9,127.003443
256,512,1073741824,type2,0,73.294636
256,512,1073741824,type2,1,74.343050
256,512,1073741824,type2,2,73.243214
256,512,1073741824,type2,3,73.265328
256,512,1073741824,type2,4,73.527013
256,512,1073741824,type2,5,72.907810
256,512,1073741824,type2,6,72.537778
256,512,1073741824,type2,7,75.446823
256,512,1073741824,type2,8,77.216019
256,512,1073741824,type2,9,74.323158
