num_gpus,num_concurrent,direction,method,run_index,time_ms
32,1,forward,full,0,137.402343
32,1,forward,full,1,134.908413
32,1,forward,full,2,131.243546
32,1,forward,full,3,148.227320
32,1,forward,full,4,136.845529
32,1,forward,full,5,136.796338
32,1,forward,full,6,147.922563
32,1,forward,full,7,147.952641
32,1,forward,full,8,147.954563
32,1,forward,full,9,137.004755
32,1,forward,full,10,148.115963
32,1,forward,full,11,137.095952
32,1,forward,full,12,137.181050
32,1,forward,full,13,137.179565
32,1,forward,full,14,147.814280
32,1,forward,full,15,137.439858
32,1,forward,full,16,147.743302
32,1,forward,full,17,147.978440
32,1,forward,full,18,137.821321
32,1,forward,full,19,147.784295
32,1,forward,pruned,0,143.171524
32,1,forward,pruned,1,142.042400
32,1,forward,pruned,2,142.385309
32,1,forward,pruned,3,146.583691
32,1,forward,pruned,4,144.578517
32,1,forward,pruned,5,142.017994
32,1,forward,pruned,6,141.345301
32,1,forward,pruned,7,147.028186
32,1,forward,pruned,8,145.051189
32,1,forward,pruned,9,144.161241
32,1,forward,pruned,10,140.565935
32,1,forward,pruned,11,142.463570
32,1,forward,pruned,12,141.930595
32,1,forward,pruned,13,142.474293
32,1,forward,pruned,14,142.228250
32,1,forward,pruned,15,140.866790
32,1,forward,pruned,16,142.937545
32,1,forward,pruned,17,141.465875
32,1,forward,pruned,18,141.198458
32,1,forward,pruned,19,145.261692
32,1,backward,full,0,137.402343
32,1,backward,full,1,134.908413
32,1,backward,full,2,131.243546
32,1,backward,full,3,148.227320
32,1,backward,full,4,136.845529
32,1,backward,full,5,136.796338
32,1,backward,full,6,147.922563
32,1,backward,full,7,147.952641
32,1,backward,full,8,147.954563
32,1,backward,full,9,137.004755
32,1,backward,full,10,148.115963
32,1,backward,full,11,137.095952
32,1,backward,full,12,137.181050
32,1,backward,full,13,137.179565
32,1,backward,full,14,147.814280
32,1,backward,full,15,137.439858
32,1,backward,full,16,147.743302
32,1,backward,full,17,147.978440
32,1,backward,full,18,137.821321
32,1,backward,full,19,147.784295
32,1,backward,pruned,0,143.171524
32,1,backward,pruned,1,142.042400
32,1,backward,pruned,2,142.385309
32,1,backward,pruned,3,146.583691
32,1,backward,pruned,4,144.578517
32,1,backward,pruned,5,142.017994
32,1,backward,pruned,6,141.345301
32,1,backward,pruned,7,147.028186
32,1,backward,pruned,8,145.051189
32,1,backward,pruned,9,144.161241
32,1,backward,pruned,10,140.565935
32,1,backward,pruned,11,142.463570
32,1,backward,pruned,12,141.930595
32,1,backward,pruned,13,142.474293
32,1,backward,pruned,14,142.228250
32,1,backward,pruned,15,140.866790
32,1,backward,pruned,16,142.937545
32,1,backward,pruned,17,141.465875
32,1,backward,pruned,18,141.198458
32,1,backward,pruned,19,145.261692
