num_gpus,num_concurrent,direction,method,run_index,time_ms
4,1,forward,full,0,80.901347
4,1,forward,full,1,80.886980
4,1,forward,full,2,80.918659
4,1,forward,full,3,80.871717
4,1,forward,full,4,80.866884
4,1,forward,full,5,80.890116
4,1,forward,full,6,80.868453
4,1,forward,full,7,80.919043
4,1,forward,full,8,80.890692
4,1,forward,full,9,80.896164
4,1,forward,full,10,80.933218
4,1,forward,full,11,80.964258
4,1,forward,full,12,80.937154
4,1,forward,full,13,80.953857
4,1,forward,full,14,80.905091
4,1,forward,full,15,80.945795
4,1,forward,full,16,80.955970
4,1,forward,full,17,80.929986
4,1,forward,full,18,80.913924
4,1,forward,full,19,80.931011
4,1,forward,pruned,0,91.422799
4,1,forward,pruned,1,91.525259
4,1,forward,pruned,2,91.401584
4,1,forward,pruned,3,91.491275
4,1,forward,pruned,4,91.443374
4,1,forward,pruned,5,91.491052
4,1,forward,pruned,6,91.314739
4,1,forward,pruned,7,91.425965
4,1,forward,pruned,8,91.378257
4,1,forward,pruned,9,91.410480
4,1,forward,pruned,10,91.417583
4,1,forward,pruned,11,91.408784
4,1,forward,pruned,12,91.216597
4,1,forward,pruned,13,91.465037
4,1,forward,pruned,14,91.422542
4,1,forward,pruned,15,91.504908
4,1,forward,pruned,16,91.446669
4,1,forward,pruned,17,91.426703
4,1,forward,pruned,18,91.412559
4,1,forward,pruned,19,91.446062
4,1,backward,full,0,80.901347
4,1,backward,full,1,80.886980
4,1,backward,full,2,80.918659
4,1,backward,full,3,80.871717
4,1,backward,full,4,80.866884
4,1,backward,full,5,80.890116
4,1,backward,full,6,80.868453
4,1,backward,full,7,80.919043
4,1,backward,full,8,80.890692
4,1,backward,full,9,80.896164
4,1,backward,full,10,80.933218
4,1,backward,full,11,80.964258
4,1,backward,full,12,80.937154
4,1,backward,full,13,80.953857
4,1,backward,full,14,80.905091
4,1,backward,full,15,80.945795
4,1,backward,full,16,80.955970
4,1,backward,full,17,80.929986
4,1,backward,full,18,80.913924
4,1,backward,full,19,80.931011
4,1,backward,pruned,0,91.422799
4,1,backward,pruned,1,91.525259
4,1,backward,pruned,2,91.401584
4,1,backward,pruned,3,91.491275
4,1,backward,pruned,4,91.443374
4,1,backward,pruned,5,91.491052
4,1,backward,pruned,6,91.314739
4,1,backward,pruned,7,91.425965
4,1,backward,pruned,8,91.378257
4,1,backward,pruned,9,91.410480
4,1,backward,pruned,10,91.417583
4,1,backward,pruned,11,91.408784
4,1,backward,pruned,12,91.216597
4,1,backward,pruned,13,91.465037
4,1,backward,pruned,14,91.422542
4,1,backward,pruned,15,91.504908
4,1,backward,pruned,16,91.446669
4,1,backward,pruned,17,91.426703
4,1,backward,pruned,18,91.412559
4,1,backward,pruned,19,91.446062
