num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
16,512,1073741824,type1,0,1896.559274
16,512,1073741824,type1,1,1931.987162
16,512,1073741824,type1,2,1908.148647
16,512,1073741824,type1,3,1904.436208
16,512,1073741824,type1,4,1926.303440
16,512,1073741824,type1,5,1921.294265
16,512,1073741824,type1,6,1913.250333
16,512,1073741824,type1,7,1887.426840
16,512,1073741824,type1,8,1929.946169
16,512,1073741824,type1,9,1890.087971
16,512,1073741824,type2,0,1377.267915
16,512,1073741824,type2,1,1389.980325
16,512,1073741824,type2,2,1378.290415
16,512,1073741824,type2,3,1389.826463
16,512,1073741824,type2,4,1382.685640
16,512,1073741824,type2,5,1399.398807
16,512,1073741824,type2,6,1403.706732
16,512,1073741824,type2,7,1391.878630
16,512,1073741824,type2,8,1403.928721
16,512,1073741824,type2,9,1398.984403
