time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49156542095832023e+01 2.97661741196272897e+03 2.99153306617231237e+03 3.41826112133449198e-02
1.22718463000000000e-02 1.49128745551346924e+01 2.97662019065395452e+03 2.99153306520908927e+03 3.29480116752014357e-02
2.45436926000000000e-02 1.49044744156501476e+01 2.97662859070911918e+03 2.99153306512476911e+03 3.21850558951904953e-02
3.68155389000000000e-02 1.48904602218020354e+01 2.97664260482806503e+03 2.99153306504986722e+03 3.19282966385791220e-02
4.90873851999999999e-02 1.48708427327681267e+01 2.97666222052740977e+03 2.99153306326017810e+03 3.21893837779480690e-02
6.13592314999999999e-02 1.48456398381021426e+01 2.97668742177206241e+03 2.99153306161016462e+03 3.29554355326855050e-02
7.36310777999999999e-02 1.48148700542305107e+01 2.97671818909146486e+03 2.99153305914569546e+03 3.41918632547046492e-02
8.59029240999999999e-02 1.47785603943475916e+01 2.97675449705595338e+03 2.99153305745030093e+03 3.58491960330313275e-02
9.81747703999999999e-02 1.47367435996263900e+01 2.97679631481223169e+03 2.99153305841185829e+03 3.78717773624014722e-02
1.10446616700000000e-01 1.46894497092100735e+01 2.97684360665599206e+03 2.99153305636520236e+03 4.02040269438302122e-02
1.22718463000000000e-01 1.46367192687551437e+01 2.97689633370396541e+03 2.99153305297272072e+03 4.27947026633965638e-02
1.34990309300000000e-01 1.45785971623471902e+01 2.97695445505263751e+03 2.99153305221498476e+03 4.55992975694720915e-02
1.47262155600000000e-01 1.45151267604727234e+01 2.97701792229462762e+03 2.99153304905510049e+03 4.85794417849853971e-02
1.59534001900000000e-01 1.44463673190301876e+01 2.97708668090557467e+03 2.99153304822460495e+03 5.17033434207703826e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 0.00000000000000000e+00 2.97661741196272897e+03 2.97661741196272897e+03 3.41826112133449475e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49106951278971760e+01 2.97661741196272897e+03 2.99152810709062624e+03 3.41826112133449475e-02
time, Potential energy, Kinetic energy, Total energy Total Momentum
0.00000000000000000e+00 1.49106951278971760e+01 2.97661741196272897e+03 2.99152810709062624e+03 3.41826112133449475e-02
1.22718463000000000e-02 1.49079161794220294e+01 2.97662018986457497e+03 2.99152810604399701e+03 3.41826112133449753e-02
2.45436926000000000e-02 1.48995169028904328e+01 2.97662858878184670e+03 2.99152810568473706e+03 3.41826112133449891e-02
3.68155389000000000e-02 1.48855060323533852e+01 2.97664260091548840e+03 2.99152810694784193e+03 3.41826112133449406e-02
4.90873851999999999e-02 1.48658908419948936e+01 2.97666221440872732e+03 2.99152810525072209e+03 3.41826112133448365e-02
6.13592314999999999e-02 1.48406916982190520e+01 2.97668741340711040e+03 2.99152810510532936e+03 3.41826112133448157e-02
7.36310777999999999e-02 1.48099255831001404e+01 2.97671817709951938e+03 2.99152810268261965e+03 3.41826112133455165e-02
8.59029240999999999e-02 1.47736196341182620e+01 2.97675447978734519e+03 2.99152809942146359e+03 3.41826112133452736e-02
9.81747703999999999e-02 1.47318072173334684e+01 2.97679629128211445e+03 2.99152809849944788e+03 3.41826112133448504e-02
1.10446616700000000e-01 1.46845180755961540e+01 2.97684357660292653e+03 2.99152809467852285e+03 3.41826112133452389e-02
1.22718463000000000e-01 1.46317944202777923e+01 2.97689629681034785e+03 2.99152809123062571e+03 3.41826112133449406e-02
1.34990309300000000e-01 1.45736794607265292e+01 2.97695440901994334e+03 2.99152808848066979e+03 3.41826112133459051e-02
1.47262155600000000e-01 1.45102179657991286e+01 2.97701786577293387e+03 2.99152808373873313e+03 3.41826112133461549e-02
1.59534001900000000e-01 1.44414679825218073e+01 2.97708661392381737e+03 2.99152808190633914e+03 3.41826112133461549e-02
