                      ranks  Wall tot
=====================================
mainTimer...........    512     53.47

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........    512     53.47     53.46     53.46
particlesCreation...    512         0         0         0
dumpData............    512     0.195    0.1077    0.1484
kick................    512   0.04019   0.03075   0.03525
drift...............    512    0.0199   0.01524   0.01747
initializeShapeFunc.    512         0         0         0
findInternal........    512         0         0         0
findPeriodic........    512         0         0         0
NativeNUFFT::init...    512         0         0         0
particleBC..........    512   0.04094   0.03133   0.03592
updateParticle......    512    0.2591    0.2262    0.2421
locateParticles.....    512   0.03117   0.02187   0.02479
sendPreprocess......    512   0.03527  0.007051   0.02331
particleSend........    512   0.04849   0.02096   0.03205
particleRecv........    512   0.01452  0.002229  0.007776
particleDestroy.....    512    0.1007   0.07355   0.08297
ScatterPIFNUFFT.....    512     13.25     13.06     13.14
NativeNUFFT1........    512     13.22     13.02     13.11
scatterTimerNUFFT1..    512    0.5187    0.4414    0.4784
binSort.............    512    0.4217    0.3252     0.371
binComputeKeys......    512   0.04452   0.03422   0.03915
binSortByKey........    512    0.3636    0.2801    0.3196
binComputeOffsets...    512   0.01323   0.01048   0.01179
FFTNUFFT1...........    512     12.73     12.52     12.63
TwiddleAdd..........    512   0.01396   0.01341   0.01362
subFFTs.............    512     12.71     12.51     12.62
deconvolutionNUFFT1.    512  0.001408  0.001297  0.001343
GatherPIFNUFFT......    512     39.93     39.73     39.82
NativeNUFFT2........    512      39.8      39.6      39.7
PrecorrectionNUFFT2.    512  0.004329  0.004048  0.004109
FFTNUFFT2...........    512     38.46     38.09     38.29
subIFFTs............    512     38.39     38.02     38.22
StridedWrite........    512   0.06236   0.06113   0.06128
GatherNUFFT2........    512     1.643     1.206     1.409
