time, Ex_field_energy, Ex_max_norm
0.0000000000000000e+00 1.0307001180900173e+02 8.3096036001067297e-01
5.0000000000000003e-02 1.0017698041648791e+02 8.1815168660468418e-01
1.0000000000000001e-01 9.7175679321805745e+01 7.9962402795382403e-01
1.5000000000000002e-01 9.4138872858479928e+01 7.7548791697638464e-01
2.0000000000000001e-01 9.0944073619006417e+01 7.4224914037374168e-01
2.5000000000000000e-01 8.7854657203166298e+01 7.0863613074313625e-01
